node,tiplabel,Group
1,Asterochloris,Trebouxiophyceae
2,Asterochloris,Trebouxiophyceae
3,Coccomyxa,Trebouxiophyceae
4,Stichococcus,Trebouxiophyceae
5,Galdieria,Cyanidiales
6,Galdieria,Cyanidiales
7,Cyanidioschyzon,Cyanidiales
8,Cyanidioschyzon,Cyanidiales
9,Timspurckia,Non-Cyanidiales
10,Erythrolobus,Non-Cyanidiales
11,Erythrolobus,Non-Cyanidiales
12,Porphyridium,Non-Cyanidiales
13,Porphyridium,Non-Cyanidiales
14,Porphyridium,Non-Cyanidiales
15,Madagascaria,Non-Cyanidiales
16,Porphyridium,Non-Cyanidiales
17,Erythrolobus,Non-Cyanidiales
18,Erythrolobus,Non-Cyanidiales
19,Mallomonas,Non-Cyanidiales
20,Timspurckia,Non-Cyanidiales
21,Erythrolobus,Non-Cyanidiales
22,Erythrolobus,Non-Cyanidiales
23,Unidentified,Non-Cyanidiales
24,Unidentified,Non-Cyanidiales
25,Rhodosorus,Non-Cyanidiales
26,Rhodosorus,Non-Cyanidiales
27,Madagascaria,Non-Cyanidiales
28,Unidentified,Non-Cyanidiales
29,Rhodosorus,Non-Cyanidiales
30,Rhodosorus,Non-Cyanidiales
31,Chondrus,Non-Cyanidiales
32,Pinus,Embryophyta
33,Amborella,Embryophyta
34,Nelumbo,Embryophyta
35,Elaeis,Embryophyta
36,Phoenix,Embryophyta
37,Musa,Embryophyta
38,Musa,Embryophyta
39,Eucalyptus,Embryophyta
40,Prunus,Embryophyta
41,Prunus,Embryophyta
42,Malus,Embryophyta
43,Pyrus,Embryophyta
44,Malus,Embryophyta
45,Malus,Embryophyta
46,Malus,Embryophyta
47,Pyrus,Embryophyta
48,Theobroma,Embryophyta
49,Alternanthera,Embryophyta
50,Alternanthera,Embryophyta
51,Beta,Embryophyta
52,Coffea,Embryophyta
53,Medicago,Embryophyta
54,Cicer,Embryophyta
55,Phaseolus,Embryophyta
56,Solanum,Embryophyta
57,Solanum,Embryophyta
58,Nicotiana,Embryophyta
59,Erythranthe,Embryophyta
60,Sesamum,Embryophyta
61,Vitis,Embryophyta
62,Vitis,Embryophyta
63,Populus,Embryophyta
64,Populus,Embryophyta
65,Ricinus,Embryophyta
66,Jatropha,Embryophyta
67,Selaginella,Embryophyta
68,Physcomitrella,Embryophyta
69,Physcomitrella,Embryophyta
70,Physcomitrella,Embryophyta
71,Physcomitrella,Embryophyta
72,Physcomitrella,Embryophyta
73,Camellia,Embryophyta
74,Amborella,Embryophyta
75,Musa,Embryophyta
76,Musa,Embryophyta
77,Musa,Embryophyta
78,Musa,Embryophyta
79,Musa,Embryophyta
80,Musa,Embryophyta
81,Musa,Embryophyta
82,Brachypodium,Embryophyta
83,Triticum,Embryophyta
84,Triticum,Embryophyta
85,Triticum,Embryophyta
86,Oryza,Embryophyta
87,Oryza,Embryophyta
88,Setaria,Embryophyta
89,Zea,Embryophyta
90,Zea,Embryophyta
91,Sorghum,Embryophyta
92,Sorghum,Embryophyta
93,Oryza,Embryophyta
94,Oryza,Embryophyta
95,Triticum,Embryophyta
96,Aegilops,Embryophyta
97,Triticum,Embryophyta
98,Puccinellia,Embryophyta
99,Brachypodium,Embryophyta
100,Oryza,Embryophyta
101,Oryza,Embryophyta
102,Oryza,Embryophyta
103,Sorghum,Embryophyta
104,Setaria,Embryophyta
105,Zea,Embryophyta
106,Phoenix,Embryophyta
107,Elaeis,Embryophyta
108,Elaeis,Embryophyta
109,Phoenix,Embryophyta
110,Populus,Embryophyta
111,Populus,Embryophyta
112,Populus,Embryophyta
113,Populus,Embryophyta
114,Tarenaya,Embryophyta
115,Arabis,Embryophyta
116,Camelina,Embryophyta
117,Camelina,Embryophyta
118,Capsella,Embryophyta
119,Arabidopsis,Embryophyta
120,Brassica,Embryophyta
121,Eutrema,Embryophyta
122,Brassica,Embryophyta
